ID,Ref.,Cit.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
113,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe70Mo2Y6B22,3.5,1230.7,1492.86,300,none,23591.2,17.79261595,-26325.9,-0.829825665,0.51196,MB_B33,13.178,MOB_BG,0.12034,0.212831913,6.56,1.8462,0.184237781,0.7,0,0.22,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.736478106,0.707319124,0.700429414,0.700030288,0.700000658,22.48,37,7.6912,42,5,26,56.06,60,7.0136,72,12,55,48.723471,85.149,16.68148724,95.96,10.811,55.845,1950.12,1097,212.9024,2896,1799,1811,8.76,10,1.8656,13,3,8,3.64,3,0.7216,5,2,4,125.36,106,18.1984,190,84,132,1.8462,0.94,0.097824,2.16,1.22,1.83,1.98,1,0.0392,2,1,2,0.22,1,0.3432,1,0,0,4.36,6,2.3216,6,0,6,0,0,0,0,0,0,6.56,5,2.016,8,3,8,0.02,1,0.0392,1,0,0,1.1,5,1.716,5,0,0,3.44,9,1.5136,9,0,4,0,0,0,0,0,0,4.56,5,0.784,9,4,4,11.34465,25.1925,2.696256,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.47746396,2.1106628,0.886478376,2.1106628,0,2.1106628,213.04,63,22.9824,229,166,229,0.301829268,0.033536585,0.664634146,0,0,0.198203144,0.016182927
114,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe70Ni2Y6B22,2,1211.09,1386.77,300,none,19706.4,15.47962502,-26085,-0.829825665,0.18924,M2B_C16,5.0772,BCC_B2#1,0.12012,0.21227067,6.64,1.8412,0.178970836,0.7,0,0.22,0,0,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.736478106,0.707319124,0.700429414,0.700030288,0.700000658,22.2,34,7.568,39,5,26,56.28,60,7.1056,72,12,55,47.978139,78.09485,16.35354116,88.90585,10.811,55.845,1926.76,620,185.3456,2348,1728,1811,8.84,10,1.8768,13,3,8,3.62,3,0.7128,5,2,4,124.76,106,17.9648,190,84,132,1.8412,0.82,0.090224,2.04,1.22,1.83,2,0,0,2,2,2,0.22,1,0.3432,1,0,0,4.42,8,2.3552,8,0,6,0,0,0,0,0,0,6.64,7,2.0384,10,3,8,0,0,0,0,0,0,1.1,5,1.716,5,0,0,3.38,9,1.5424,9,0,4,0,0,0,0,0,0,4.48,7,0.7712,9,2,4,11.23725,25.1925,2.53533,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.489371854,2.1106628,0.869807324,2.1106628,0,2.1106628,212.96,63,22.9376,229,166,229,0.301204819,0.03313253,0.665662651,0,0,0.154730696,0.01527478
115,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe71Mo1Y6B22,2.5,1226.23,1446.8,300,none,21680.4,16.62466952,-26075.9,-0.791132565,0.2706,M2B_C16,12.782,MOB_BG,0.12023,0.212554048,6.58,1.8429,0.181522974,0.71,0,0.22,0,0,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.745788174,0.717112924,0.710405759,0.710027817,0.710000579,22.32,37,7.6208,42,5,26,56.11,60,6.9916,72,12,55,48.322321,85.149,16.50498124,95.96,10.811,55.845,1939.27,1097,198.9758,2896,1799,1811,8.78,10,1.8568,13,3,8,3.63,3,0.7172,5,2,4,125.14,106,18.1016,190,84,132,1.8429,0.94,0.093066,2.16,1.22,1.83,1.99,1,0.0198,2,1,2,0.22,1,0.3432,1,0,0,4.37,6,2.3272,6,0,6,0,0,0,0,0,0,6.58,5,2.0164,8,3,8,0.01,1,0.0198,1,0,0,1.1,5,1.716,5,0,0,3.43,9,1.5092,9,0,4,0,0,0,0,0,0,4.54,5,0.7668,9,4,4,11.29505,25.1925,2.616293,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.498570588,2.1106628,0.869170941,2.1106628,0,2.1106628,213.04,63,22.9824,229,166,229,0.302431611,0.03343465,0.664133739,0,0,0.198203144,0.015713474
116,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe71Ni1Y6B22,2,1216.52,1388.48,300,none,19555.1,15.31604086,-25951.4,-0.791132565,0.18327,M2B_C16,5.1413,BCC_B2#1,0.12012,0.21227067,6.62,1.8404,0.178840264,0.71,0,0.22,0,0,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.745788174,0.717112924,0.710405759,0.710027817,0.710000579,22.18,34,7.5592,39,5,26,56.22,60,7.0388,72,12,55,47.949655,78.09485,16.3410082,88.90585,10.811,55.845,1927.59,620,184.9804,2348,1728,1811,8.82,10,1.8628,13,3,8,3.62,3,0.7128,5,2,4,124.84,106,17.9864,190,84,132,1.8404,0.82,0.089216,2.04,1.22,1.83,2,0,0,2,2,2,0.22,1,0.3432,1,0,0,4.4,8,2.344,8,0,6,0,0,0,0,0,0,6.62,7,2.0272,10,3,8,0,0,0,0,0,0,1.1,5,1.716,5,0,0,3.4,9,1.524,9,0,4,0,0,0,0,0,0,4.5,7,0.76,9,2,4,11.24135,25.1925,2.534838,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.504524535,2.1106628,0.860716336,2.1106628,0,2.1106628,213,63,22.96,229,166,229,0.302114804,0.033232628,0.664652568,0,0,0.154730696,0.015254348
117,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe72Y6B22,2,1221.65,1390.16,300,none,15973.6,12.34605508,-25818.8,-0.738435672,0.17775,M2B_C16,5.1923,BCC_B2#1,0.12012,0.21227067,6.6,1.8396,0.178706016,0.72,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.755248304,0.726918896,0.720383712,0.720025578,0.720000511,22.16,34,7.5504,39,5,26,56.16,60,6.9696,72,12,55,47.921171,78.09485,16.32847524,88.90585,10.811,55.845,1928.42,549,184.6152,2348,1799,1811,8.8,10,1.848,13,3,8,3.62,3,0.7128,5,2,4,124.92,106,18.0048,190,84,132,1.8396,0.82,0.088176,2.04,1.22,1.83,2,0,0,2,2,2,0.22,1,0.3432,1,0,0,4.38,6,2.3328,6,0,6,0,0,0,0,0,0,6.6,5,2.016,8,3,8,0,0,0,0,0,0,1.1,5,1.716,5,0,0,3.42,9,1.5048,9,0,4,0,0,0,0,0,0,4.52,5,0.7488,9,4,4,11.24545,25.1925,2.534346,32.365,7.1725,10.73,0.33528,1.524,0.5230368,1.524,0,0,1.519677216,2.1106628,0.851019241,2.1106628,0,2.1106628,213.04,63,22.9824,229,166,229,0.303030303,0.033333333,0.663636364,0,0,0.154730696,0.015233277
118,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe74Mo5P10C4B4Si3,3,1330.581,1575.849,1046,FCC_L12,22235.9,15.15333904,-16077.96,-0.965569695,0.18986,BCC_B2#1,1.076,MOB_BG,0.12093,0.133025709,7.12,1.9218,0.180623254,0.74,0,0.04,0.03,0,0,0,0,0,0.05,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,6,0.751132478,0.740778339,0.740007031,0.740000088,0.74,23.7,37,5.234,42,5,26,59.8,33,8.084,83,50,55,50.9761092,85.149,11.70434746,95.96,10.811,55.845,1814.12,3505.7,311.6088,3823,317.3,1811,9.22,9,2.1276,15,6,8,3.76,3,0.4792,5,2,4,125.81,78,11.9802,154,76,132,1.9218,0.72,0.137172,2.55,1.83,1.83,1.95,1,0.095,2,1,2,0.48,3,0.7584,3,0,0,4.69,6,1.9698,6,0,6,0,0,0,0,0,0,7.12,5,1.3024,8,3,8,0.05,1,0.095,1,0,0,0.78,5,1.2324,5,0,0,3.21,5,1.3482,5,0,4,0,0,0,0,0,0,4.04,3,0.2728,6,3,4,12.10742381,16.9302381,2.950775048,22.5702381,5.64,10.73,0.42649,4.496,0.6738542,4.496,0,0,1.561890472,2.1106628,0.812183045,2.1106628,0,2.1106628,202.32,227,43.6352,229,2,229,0.273876404,0.06741573,0.658707865,0,0,0.121553261,0.015699884
119,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Mo3P10C4B4Si3,3.5,1299.311,1589.479,1102,FCC_L12,23212.7,15.88959142,-15664.16,-0.906734052,0.22462,BCC_B2#1,0.62508,MOB_BG,0.12071,0.13182375,7.16,1.9152,0.177805962,0.76,0,0.04,0.03,0,0,0,0,0,0.03,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,6,0.76980517,0.760681522,0.760006147,0.760000074,0.76,23.38,37,5.0996,42,5,26,59.9,33,8.042,83,50,55,50.1738092,85.149,11.36738146,95.96,10.811,55.845,1792.42,3505.7,301.3492,3823,317.3,1811,9.26,9,2.1108,15,6,8,3.74,3,0.4708,5,2,4,125.37,78,11.7954,154,76,132,1.9152,0.72,0.130416,2.55,1.83,1.83,1.97,1,0.0582,2,1,2,0.48,3,0.7584,3,0,0,4.71,6,1.9782,6,0,6,0,0,0,0,0,0,7.16,5,1.2768,8,3,8,0.03,1,0.0582,1,0,0,0.78,5,1.2324,5,0,0,3.19,5,1.3398,5,0,4,0,0,0,0,0,0,4,3,0.2,6,3,4,12.00822381,16.9302381,2.839216,22.5702381,5.64,10.73,0.42649,4.496,0.6738542,4.496,0,0,1.604103728,2.1106628,0.769969789,2.1106628,0,2.1106628,202.32,227,43.6352,229,2,229,0.275139665,0.067039106,0.657821229,0,0,0.121553261,0.015191688
120,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Mo4(P0.45.C0.2.B0.2.Si0.15)20,4,1319.8599,1588.0065,1074,FCC_L12,22923.565,15.61185031,-15519.028,-0.916748943,0.20275,BCC_B2#1,0.86356,MOB_BG,0.1211,0.131114551,7.17,1.9149,0.177366823,0.76,0,0.04,0.03,0,0,0,0,0,0.04,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,6,0.769025357,0.760546698,0.760003739,0.760000036,0.76,23.65,37,5.04,42,5,26,59.57,33,7.712,83,50,55,50.82367158,85.149,11.24332547,95.96,10.811,55.845,1818.207,3505.7,288.99032,3823,317.3,1811,9.17,9,2.032,15,6,8,3.76,3,0.464,5,2,4,125.84,78,11.616,154,76,132,1.9149,0.72,0.129942,2.55,1.83,1.83,1.96,1,0.0768,2,1,2,0.45,3,0.72,3,0,0,4.76,6,1.904,6,0,6,0,0,0,0,0,0,7.17,5,1.2616,8,3,8,0.04,1,0.0768,1,0,0,0.75,5,1.2,5,0,0,3.24,5,1.296,5,0,4,0,0,0,0,0,0,4.03,3,0.2352,6,3,4,11.93942143,16.9302381,2.723628,22.5702381,5.64,10.73,0.41024,4.496,0.656384,4.496,0,0,1.604103728,2.1106628,0.769969789,2.1106628,0,2.1106628,204.59,227,40.4006,229,2,229,0.273361227,0.062761506,0.663877266,0,0,0.121553261,0.015115912
121,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Si9B10P5,2.5,1469.4755,1542.08,848.8,BCC_B2,17286.4,11.54701891,-23301.9385,-0.80533223,0.054072,BCC_B2#1,0.99823,M2B_C16,0.11926,0.138709059,6.99,1.8753,0.096327099,0.76,0,0.1,0.09,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,4,0.773433902,0.761068442,0.760009722,0.76000011,0.76,22.27,21,5.6696,26,5,26,60.17,28,7.8584,83,55,55,47.5996831,45.034,12.53288169,55.845,10.811,55.845,1778.855,2030.7,162.6894,2348,317.3,1811,9.39,7,2.1128,15,8,8,3.66,2,0.5168,4,2,4,124.06,48,12.0688,132,84,132,1.8753,0.36,0.068856,2.19,1.83,1.83,2,0,0,2,2,2,0.43,3,0.6536,3,0,0,4.56,6,2.1888,6,0,6,0,0,0,0,0,0,6.99,5,1.5352,8,3,8,0,0,0,0,0,0,1.01,5,1.5352,5,0,0,3.04,4,1.4592,4,0,4,0,0,0,0,0,0,4.05,2,0.19,5,3,4,11.8401619,15.3977381,2.620978476,22.5702381,7.1725,10.73,0.30322,1.625,0.4608944,1.625,0,0,1.604103728,2.1106628,0.769969789,2.1106628,0,2.1106628,211.17,227,29.951,229,2,229,0.286123033,0.061516452,0.652360515,0,0,0.031880743,0.004588336
122,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe77Mo2P10C4B4Si3,2.5,1290.271,1595.849,1130,FCC_L12,23355.9,15.99386697,-15447.06,-0.872456641,0.23637,FCC_L12#1,0.41532,BCC_B2#1,0.1206,0.131205642,7.18,1.9119,0.176287804,0.77,0,0.04,0.03,0,0,0,0,0,0.02,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,6,0.779358711,0.770653294,0.770005821,0.770000069,0.77,23.22,37,5.0324,42,5,26,59.95,33,8.021,83,50,55,49.7726592,85.149,11.19889846,95.96,10.811,55.845,1781.57,3505.7,298.5282,3823,317.3,1811,9.28,9,2.1024,15,6,8,3.73,3,0.4666,5,2,4,125.15,78,11.703,154,76,132,1.9119,0.72,0.12684,2.55,1.83,1.83,1.98,1,0.0392,2,1,2,0.48,3,0.7584,3,0,0,4.72,6,1.9824,6,0,6,0,0,0,0,0,0,7.18,5,1.2628,8,3,8,0.02,1,0.0392,1,0,0,0.78,5,1.2324,5,0,0,3.18,5,1.3356,5,0,4,0,0,0,0,0,0,3.98,3,0.196,6,3,4,11.95862381,16.9302381,2.780460476,22.5702381,5.64,10.73,0.42649,4.496,0.6738542,4.496,0,0,1.625210356,2.1106628,0.747596764,2.1106628,0,2.1106628,202.32,227,43.6352,229,2,229,0.275766017,0.066852368,0.657381616,0,0,0.121553261,0.014921475
123,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe78Mo1P10C4B4Si3,1.5,1276.391,1601.929,1158,FCC_L12,23805.1,16.3297492,-15222.96,-0.832816874,0.2523,FCC_L12#1,0.38109,BCC_B2#1,0.12049,0.13057584,7.2,1.9086,0.174694133,0.78,0,0.04,0.03,0,0,0,0,0,0.01,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0,6,0.789050062,0.780632842,0.780005527,0.780000064,0.78,23.06,37,4.9652,42,5,26,60,33,8,83,50,55,49.3715092,85.149,11.03041546,95.96,10.811,55.845,1770.72,3505.7,295.7072,3823,317.3,1811,9.3,9,2.094,15,6,8,3.72,3,0.4624,5,2,4,124.93,78,11.6106,154,76,132,1.9086,0.72,0.123132,2.55,1.83,1.83,1.99,1,0.0198,2,1,2,0.48,3,0.7584,3,0,0,4.73,6,1.9866,6,0,6,0,0,0,0,0,0,7.2,5,1.248,8,3,8,0.01,1,0.0198,1,0,0,0.78,5,1.2324,5,0,0,3.17,5,1.3314,5,0,4,0,0,0,0,0,0,3.96,3,0.192,6,3,4,11.90902381,16.9302381,2.719720952,22.5702381,5.64,10.73,0.42649,4.496,0.6738542,4.496,0,0,1.646316984,2.1106628,0.724379473,2.1106628,0,2.1106628,202.32,227,43.6352,229,2,229,0.276388889,0.066666667,0.656944444,0,0,0.121553261,0.014640519
124,[23],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B11Si2P3,0.081,1397.017,1565.519,674.61,BCC_B2,19026.057,12.97571879,-16253.7709,-0.626942689,0.11709,FCC_L12#1,1.6606,BCC_B2#1,0.12063,0.139636731,7.24,1.8725,0.11052036,0.83,0,0.11,0.02,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,5,0.838093074,0.830660915,0.830006799,0.830000085,0.83,22.92,21,5.1128,26,5,26,58.39,28,5.6274,83,55,55,49.15158986,45.034,11.11106083,55.845,10.811,55.845,1842.899,3505.7,150.72424,3823,317.3,1811,8.94,7,1.5604,15,8,8,3.71,2,0.4814,4,2,4,124.99,56,11.6366,132,76,132,1.8725,0.72,0.07055,2.55,1.83,1.83,2,0,0,2,2,2,0.26,3,0.4316,3,0,0,4.98,6,1.6932,6,0,6,0,0,0,0,0,0,7.24,5,1.2616,8,3,8,0,0,0,0,0,0,0.76,5,1.2616,5,0,0,3.32,4,1.1288,4,0,4,0,0,0,0,0,0,4.08,2,0.2024,5,3,4,10.83718214,16.9302381,1.088096071,22.5702381,5.64,10.73,0.27681,4.496,0.4595046,4.496,0,0,1.751850124,2.1106628,0.595629042,2.1106628,0,2.1106628,214.87,227,23.941,229,2,229,0.276243094,0.035911602,0.687845304,0,0,0.121553261,0.00592942
125,[23],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B11Si3P2,0.067,1404.3888,1559.4696,686.56,BCC_B2,18720.396,12.75686932,-17488.4652,-0.626942689,0.10868,BCC_B2#1,1.595,BCC_B2#1,0.12065,0.139420169,7.23,1.8696,0.10585764,0.83,0,0.11,0.03,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,5,0.838093074,0.830660915,0.830006799,0.830000085,0.83,22.91,21,5.1294,26,5,26,58.34,28,5.5444,83,55,55,49.12270724,45.034,11.15900598,55.845,10.811,55.845,1856.596,3505.7,147.43696,3823,317.3,1811,8.93,7,1.5438,15,8,8,3.71,2,0.4814,4,2,4,125.03,56,11.5702,132,76,132,1.8696,0.72,0.065736,2.55,1.83,1.83,2,0,0,2,2,2,0.25,3,0.415,3,0,0,4.98,6,1.6932,6,0,6,0,0,0,0,0,0,7.23,5,1.2782,8,3,8,0,0,0,0,0,0,0.77,5,1.2782,5,0,0,3.32,4,1.1288,4,0,4,0,0,0,0,0,0,4.09,2,0.2002,5,3,4,10.81587976,16.9302381,1.047621548,22.5702381,5.64,10.73,0.26829,4.496,0.4453614,4.496,0,0,1.751850124,2.1106628,0.595629042,2.1106628,0,2.1106628,217.12,227,20.3136,229,2,229,0.276625173,0.034578147,0.68879668,0,0,0.121553261,0.005432607
126,[23],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B8Si4P4,0.055,1399.4276,1606.0452,884.76,BCC_B2,20612.3,13.78570284,-16195.4992,-0.660273609,0.14258,BCC_B2#1,0.88018,BCC_B2#1,0.12133,0.127663288,7.28,1.8712,0.111330858,0.83,0,0.08,0.04,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,5,0.835822948,0.83031004,0.830001467,0.830000009,0.83,23.2,21,4.648,26,5,26,58.62,28,6.0092,83,55,55,49.69870748,45.034,10.20284558,55.845,10.811,55.845,1809.372,3505.7,129.15552,3823,317.3,1811,8.98,7,1.6268,15,8,8,3.74,2,0.4316,4,2,4,125.76,56,10.3584,132,76,132,1.8712,0.72,0.068392,2.55,1.83,1.83,2,0,0,2,2,2,0.3,3,0.498,3,0,0,4.98,6,1.6932,6,0,6,0,0,0,0,0,0,7.28,5,1.1952,8,3,8,0,0,0,0,0,0,0.72,5,1.1952,5,0,0,3.32,4,1.1288,4,0,4,0,0,0,0,0,0,4.04,2,0.1536,5,3,4,11.25650952,16.9302381,1.639777524,22.5702381,5.64,10.73,0.2628,4.496,0.436248,4.496,0,0,1.751850124,2.1106628,0.595629042,2.1106628,0,2.1106628,214.45,227,25.157,229,2,229,0.274725275,0.041208791,0.684065934,0,0,0.121553261,0.006012219
127,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",(Fe71.2B24Y4.8)96Ti4 ,2,1219.04,1459.06,300,none,22937.5,17.3898373,-26219.7,-0.868852451,0.27187,M2B_C16,6.5667,M2B_C16,0.11903616,0.209328512,6.5776,1.8390752,0.174243074,0.68352,0,0.2304,0,0,0,0.04608,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,4,0.723883359,0.692249675,0.684114141,0.683568271,0.683521294,21.72064,34,7.704870912,39,5,26,56.81536,60,6.997082112,72,12,55,46.95633217,78.09485,16.65576906,88.90585,10.811,55.845,1922.49184,829,196.0741601,2348,1519,1811,8.8816,10,1.89775872,13,3,8,3.58528,3,0.730497024,5,2,4,123.89344,106,18.38289715,190,84,132,1.8390752,0.82,0.092586148,2.04,1.22,1.83,2,0,0,2,2,2,0.2304,1,0.35463168,1,0,0,4.3472,6,2.311667712,6,0,6,0,0,0,0,0,0,6.5776,5,1.978269696,8,3,8,0,0,0,0,0,0,1.152,5,1.7731584,5,0,0,3.3488,9,1.54312704,9,0,4,0,0,0,0,0,0,4.5008,5,0.684613632,9,4,4,10.89759625,25.1925,1.97843593,32.365,7.1725,10.73,0.3511296,1.524,0.54045868,1.524,0,0,1.442692642,2.1106628,0.913141925,2.1106628,0,2.1106628,212.392,63,23.07244032,229,166,229,0.304062272,0.035027974,0.660909754,0,0,0.154730696,0.014568732
